file	date	hour	id_mic	Ecosystem	Composition	Interaction	Structure	Dilution	Replicate	indiv_per_frame	indiv_per_ul	bioarea_per_frame	bioarea_per_ul	major_mean	major_sd	minor_mean	minor_sd	gross_speed_mean	gross_speed_sd	net_speed_mean	net_speed_sd	sd_turning_mean	Tet	Col	Pau	Eug	Daphnia	Tet_meanarea	Col_meanarea	Pau_meanarea	Eug_meanarea	Tet_major	Col_major	Pau_major	Eug_major	Tet_minor	Col_minor	Pau_minor	Eug_minor	Euglena_manual	Eug_manual_per_ul	Daphnia_large_protist	Col_presence	Pau_presence	CD	Bact_per_ul	Mean FSC-A	Mean SSC-A	Oxygen
sample_0017	2015-10-26	10	17	2	Bact	Competition	Resource	0	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	53040	1733.120	1878.610	6.662
sample_0018	2015-10-26	10	18	1	Col + Pau	Competition	Resource	0	A	1.008	0.057272727	1521.151515	86.42906336	112.8506371	0.497661298	63.68704373	0.693872878	601.2988636	48.17914909	22.625	1.732411614	0.395	0	0	0.057272727	0	NA	0	0	1508.195592	0	0	0	112.8506371	0	0	0	63.68704373	0	0	0	NA	no	yes	0	54380	2593.040	2725.370	7.163
sample_0019	2015-10-26	10	19	2	Tet	Competition	Consumer	0	A	1.888	0.107272727	359.6969697	20.43732782	23.23710207	11.79011	18.19935152	10.40183179	170.8663036	136.6745251	4.501666667	2.747969553	0.698333333	0.107272727	0	0	0	NA	110.1295683	0	0	0	23.23710207	0	0	0	18.19935152	0	0	0	0	0	NA	NA	NA	NA	35940	2183.990	2285.950	8.766
sample_0020	2015-10-26	10	20	1	Col + Pau	Competition	Consumer	0	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	no	no	0	58760	2341.540	2250.110	9.245
sample_0021	2015-10-26	10	21	1	Bact	B.alone	Resource	0.33	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	19800	1643.690	2021.120	13.944
sample_0022	2015-10-26	10	22	2	Bact	B.alone	Resource	0.33	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	27820	2238.820	2212.910	13.334
sample_0023	2015-10-26	10	23	1	Bact	B.alone	Consumer	0.33	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	22680	1817.340	2107.950	14.174
sample_0024	2015-10-26	10	24	2	Tet	B.alone	Consumer	0.33	A	1.312	0.074545455	100.2424242	5.695592287	16.11321559	3.933280304	9.959885732	3.413076642	179.2168182	174.5106115	3.9625	2.338795478	1.256666667	0.074545455	0	0	0	NA	35.4397096	0	0	0	16.11321559	0	0	0	9.959885732	0	0	0	0	0	NA	NA	NA	NA	24140	2564.040	2234.500	12.909
sample_0025	2015-10-26	10	25	1	Col	C.alone	Resource	0.33	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	no	NA	0	52000	2908.120	3082.960	10.584
sample_0026	2015-10-26	10	26	2	Bact	C.alone	Resource	0.33	A	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	26420	2629.800	2429.490	13.167
